,zespol,slupek,nazwa_zespolu,id_ulicy,szer_geo,dlug_geo,kierunek,obowiazuje_od
1116,1395,02,Legionów,2501,52.346256,21.242002,Miejski Dom Kultury,2023-10-14 00:00:00.0
1117,1395,51,Legionów,null,52.346544,21.241899,null,2023-10-14 00:00:00.0
1118,1396,01,Wiejska,1321,52.340766,21.242156,1 Maja,2023-10-14 00:00:00.0
1119,1397,01,Fieldorfa,1553,52.338886,21.233643,Ręczajska,2023-10-14 00:00:00.0
1120,1397,02,Fieldorfa,1553,52.338846,21.235585,Brzozowa,2023-10-14 00:00:00.0
1121,1398,01,Ręczajska,1623,52.332233,21.217343,Bohaterów Ossowa,2023-10-14 00:00:00.0
1122,1398,02,Ręczajska,1623,52.333032,21.218390,Fieldorfa,2023-11-22 00:00:00.0
1123,1398,03,Ręczajska,null,52.333319,21.216627,null,2023-10-14 00:00:00.0
1124,1398,04,Ręczajska,null,52.333774,21.215856,null,2023-10-14 00:00:00.0
1125,1400,01,Turów,null,52.315827,21.196236,---------- ZIELONKA ----------,2023-10-14 00:00:00.0
1126,1400,04,Turów,0540,52.315360,21.193591,Nadarzyńska,2023-10-14 00:00:00.0
1127,1402,01,Ciołkosza,1781,52.326640,20.936906,Nowodworska,2023-10-14 00:00:00.0
1128,1402,02,Ciołkosza,1781,52.328277,20.936544,Hanki Ordonówny,2023-10-14 00:00:00.0
1129,1402,04,Ciołkosza,2086,52.327610,20.937337,Światowida,2023-10-14 00:00:00.0
1130,1403,01,Hanki Ordonówny,1781,52.332408,20.935824,Ciołkosza,2023-10-14 00:00:00.0
1131,1403,02,Hanki Ordonówny,1781,52.333380,20.936427,Barei,2023-10-14 00:00:00.0
1132,1403,04,Hanki Ordonówny,1963,52.332721,20.937020,Światowida,2023-10-14 00:00:00.0
1133,1404,01,Barei,1781,52.336718,20.937517,Hanki Ordonówny,2023-10-14 00:00:00.0
1134,1404,02,Barei,1781,52.336626,20.937594,Dzierzgońska,2023-10-14 00:00:00.0
1135,1405,01,Dzierzgońska,0547,52.339838,20.940166,Odkryta,2023-10-14 00:00:00.0
1136,1405,02,Dzierzgońska,0547,52.339894,20.939822,Grzymalitów,2023-10-14 00:00:00.0
1137,1406,01,Grzymalitów,2108,52.338645,20.943498,Nowodwory,2023-10-14 00:00:00.0
1138,1406,02,Grzymalitów,2108,52.339351,20.945012,Dzierzgońska,2023-10-14 00:00:00.0
1139,1406,03,Grzymalitów,0547,52.339152,20.943026,Odkryta,2023-10-14 00:00:00.0
