,Lines,Lon,VehicleNumber,Time,Lat,Brigade,Speed
10152,402,21.061135,8577,2024-02-19 10:21:38,52.20187,2,54.6942590707848
11919,402,21.06821,8577,2024-02-19 10:22:12,52.20287,2,52.391299593049126
13687,402,21.0756783,8577,2024-02-19 10:22:44,52.20383,2,58.50186998448244
20760,402,21.089725,8577,2024-02-19 10:24:49,52.2124833,2,56.29012048566353
22528,402,21.0944183,8577,2024-02-19 10:25:20,52.215505,2,53.86428320056105
36673,402,21.1207367,8577,2024-02-19 10:29:47,52.2319133,2,52.118431519171395
10154,509,21.00693,8579,2024-02-19 10:21:20,52.286341,6,50.86400166082476
11921,509,21.011351,8579,2024-02-19 10:22:20,52.279343,6,50.05413146977899
6625,132,21.01505,8585,2024-02-19 10:20:34,52.29456,4,55.649288824138225
17230,132,20.9917283,8585,2024-02-19 10:23:46,52.2858333,4,57.45002395862125
18998,132,20.9835483,8585,2024-02-19 10:24:33,52.282125,4,53.0473351990906
20767,132,20.9804083,8585,2024-02-19 10:24:49,52.2806533,4,60.54433911996415
26072,132,20.9695733,8585,2024-02-19 10:26:26,52.2750017,4,54.7522927280959
6628,738,21.1397683,8588,2024-02-19 10:20:29,52.365145,1,53.104940009443695
13697,738,21.1476266,8588,2024-02-19 10:22:38,52.3741833,1,54.95540278464503
22538,738,21.1605167,8588,2024-02-19 10:25:30,52.389695,1,57.36462762254178
24307,738,21.1646417,8588,2024-02-19 10:26:02,52.3945483,1,68.39273574093947
38451,738,21.1734817,8588,2024-02-19 10:30:11,52.4056567,1,55.74560351970864
17235,500,21.046678,8590,2024-02-19 10:23:40,52.282421,3,55.23525728896651
36685,500,21.024013,8590,2024-02-19 10:29:41,52.264703,3,56.886332839153376
45523,500,21.009026,8590,2024-02-19 10:32:01,52.260591,3,53.967028268420634
47292,500,20.996963,8590,2024-02-19 10:33:01,52.258568,3,51.07653180007719
33152,738,21.0795583,8593,2024-02-19 10:28:39,52.29191,2,51.190986990236766
34920,738,21.0825017,8593,2024-02-19 10:29:10,52.295465,2,51.45589198169323
36688,738,21.08588,8593,2024-02-19 10:29:41,52.2995733,2,59.38085757170662
38456,738,21.08738,8593,2024-02-19 10:29:57,52.3014117,2,51.4021432671525
13703,705,21.0321733,8594,2024-02-19 10:22:40,52.4268367,64,51.93143705539611
22544,705,21.0378633,8594,2024-02-19 10:25:17,52.4157467,64,58.56745414420024
24313,705,21.038305,8594,2024-02-19 10:26:04,52.4080367,64,65.70660176081302
26081,705,21.0377367,8594,2024-02-19 10:26:36,52.4032917,64,59.51547692066195
38457,705,21.032318,8594,2024-02-19 10:30:05,52.390689,64,57.076372974703716
40225,705,21.0297267,8594,2024-02-19 10:30:36,52.384785,64,78.9259517815452
43759,705,21.0288567,8594,2024-02-19 10:31:39,52.3788233,64,50.42600971948204
50834,705,21.0288717,8594,2024-02-19 10:33:32,52.37325,64,60.35601837346747
52602,705,21.0284,8594,2024-02-19 10:34:22,52.3660383,64,57.7831432793052
17244,504,20.9788861,8804,2024-02-19 10:23:54,52.1841651,3,55.34732090561629
36701,143,21.0714735,8812,2024-02-19 10:29:45,52.2311678,011,54.42326774775386
6649,148,21.0943135,8815,2024-02-19 10:20:37,52.2156726,5,52.649344368007995
8416,148,21.0890101,8815,2024-02-19 10:21:12,52.2122676,5,53.83149645237753
13718,148,21.0784231,8815,2024-02-19 10:22:45,52.2045465,5,62.11497050859204
15486,148,21.0691216,8815,2024-02-19 10:23:29,52.2033828,5,52.93093391335872
27869,503,21.0392965,8820,2024-02-19 10:27:12,52.1972525,7,53.16937937882492
8423,138,21.0489105,8822,2024-02-19 10:21:16,52.2440966,4,51.285300464154744
49087,138,21.066867,8822,2024-02-19 10:33:21,52.2613023,4,53.4376314983858
19031,141,20.9713251,8824,2024-02-19 10:24:30,52.185797,9,56.81372608715519
3126,704,21.2177308,8827,2024-02-19 10:19:40,52.2239036,2,56.67711491689014
20803,704,21.2495231,8827,2024-02-19 10:24:55,52.2226761,2,51.32231977522951
36716,704,21.2850093,8827,2024-02-19 10:29:25,52.2215133,2,52.879614668419514
40252,704,21.2964173,8827,2024-02-19 10:30:44,52.2198915,2,51.62507833722988
43786,704,21.303393,8827,2024-02-19 10:31:44,52.2184028,2,52.05566552496687
45554,704,21.3099008,8827,2024-02-19 10:32:14,52.2169928,2,56.430036965322486
49092,704,21.3204255,8827,2024-02-19 10:33:24,52.2147248,2,60.49126185442449
50861,704,21.3281925,8827,2024-02-19 10:33:54,52.2130513,2,67.31250266337406
4894,704,21.2094961,8828,2024-02-19 10:20:07,52.2242745,1,50.66278916790082
8429,704,21.1956719,8828,2024-02-19 10:21:08,52.2247403,1,59.197407313912244
10196,704,21.1893831,8828,2024-02-19 10:21:37,52.2249428,1,53.24860222371002
11963,704,21.1791915,8828,2024-02-19 10:22:24,52.2252976,1,53.257557807505485
13731,704,21.1746286,8828,2024-02-19 10:22:46,52.2254463,1,50.92910700279608
15499,704,21.1651231,8828,2024-02-19 10:23:31,52.2257173,1,51.85185805647237
13732,520,21.0991331,8829,2024-02-19 10:22:48,52.2347451,1,50.83851545845301
20805,520,21.0886931,8829,2024-02-19 10:24:58,52.2361241,1,53.23681937423182
36718,520,21.0671345,8829,2024-02-19 10:29:38,52.2298168,1,79.4762992583716
49094,520,21.0375693,8829,2024-02-19 10:33:26,52.2225431,1,59.41580224433989
3129,523,20.9582286,8830,2024-02-19 10:19:43,52.2239765,6,51.922597523461675
4896,523,20.9575365,8830,2024-02-19 10:20:06,52.2271976,6,56.54487330471034
17269,523,20.9561226,8830,2024-02-19 10:23:56,52.2368693,6,55.33391063196065
38487,523,20.9214093,8830,2024-02-19 10:30:11,52.2401121,6,50.44164357489099
26114,143,21.1388651,8835,2024-02-19 10:26:35,52.2509158,2,63.72289317089636
27882,143,21.1373995,8835,2024-02-19 10:27:10,52.2460669,2,56.399359624861425
6670,141,21.046079,8839,2024-02-19 10:20:39,52.2248176,3,60.551690611863954
50872,523,21.0453461,8842,2024-02-19 10:33:57,52.2246885,9,68.1254130040712
52640,523,21.040487,8842,2024-02-19 10:34:22,52.223575,9,50.88661758332275
10207,504,21.0216248,8843,2024-02-19 10:21:37,52.1518666,7,52.90130436232053
17278,504,21.0175983,8843,2024-02-19 10:24:00,52.1594977,7,59.526504028963814
19046,504,21.0175797,8843,2024-02-19 10:24:33,52.1644916,7,60.577941110709844
22583,504,21.0108858,8843,2024-02-19 10:25:31,52.1691863,7,51.303924834624894
34961,402,21.1240966,8844,2024-02-19 10:29:12,52.2324793,4,59.140616717999634
45567,402,21.118947,8844,2024-02-19 10:32:17,52.2315603,4,54.56299838302817
47336,402,21.1106178,8844,2024-02-19 10:33:02,52.2261633,4,66.0644155227217
49105,402,21.1068725,8844,2024-02-19 10:33:22,52.2237316,4,66.91347786230675
50874,402,21.1003961,8844,2024-02-19 10:33:57,52.2195738,4,65.72986808446724
52642,402,21.0940755,8844,2024-02-19 10:34:32,52.215471,4,64.5249751861847
45568,720,21.3887963,8845,2024-02-19 10:32:14,52.141128,1,53.89021372368997
29661,520,21.0115515,8850,2024-02-19 10:27:29,52.2294945,6,50.055086226139075
47348,512,21.0576491,8858,2024-02-19 10:32:59,52.2652313,1,53.81643142320976
52654,512,21.0625631,8858,2024-02-19 10:34:25,52.2711888,1,50.56749468630722
20835,512,21.066005,8865,2024-02-19 10:24:43,52.288893,5,58.83681830076714
29679,111,21.040231,8869,2024-02-19 10:27:25,52.235728,9,85.11661400832959
29694,136,20.95831,8884,2024-02-19 10:27:21,52.222988,1,69.80898573189215
19097,136,21.016928,8899,2024-02-19 10:24:34,52.166626,3,54.9134047921648
29715,332,21.043684,9068,2024-02-19 10:27:32,52.326015,1,79.2609340288018
26186,211,20.974104,9075,2024-02-19 10:26:30,52.307064,1,87.034256016155
29722,211,20.971146,9075,2024-02-19 10:27:36,52.31012,1,64.61329648246378
43864,211,20.961382,9075,2024-02-19 10:31:39,52.316956,1,79.20735903812005
49170,211,20.968386,9075,2024-02-19 10:33:27,52.319519,1,67.3222748631977
40347,314,20.991438,9093,2024-02-19 10:30:45,52.310425,4,67.74944719384271
45658,164,21.086551,9208,2024-02-19 10:32:17,52.159973,1,54.614019838081454
10307,201,20.9440902,9226,2024-02-19 10:21:37,52.2657962,1,52.3650691808498
52752,211,20.994064,9253,2024-02-19 10:34:33,52.299036,460,63.221777940047396
26242,142,21.226288,9316,2024-02-19 10:26:29,52.171135,469,62.86829479216915
24493,739,21.018185,9335,2024-02-19 10:26:02,52.119068,2,59.66623511206863
40405,739,21.018805,9335,2024-02-19 10:30:44,52.099823,2,54.79573533753596
51035,198,21.223827,9356,2024-02-19 10:33:58,52.227791,2,51.53302625872456
20978,739,21.017698,9357,2024-02-19 10:24:56,52.159077,4,62.77956317244372
22746,739,21.017761,9357,2024-02-19 10:25:31,52.164215,4,58.76595712998867
8609,516,20.977657,9405,2024-02-19 10:20:55,52.313408,4,66.86871631448535
12143,516,20.984371,9405,2024-02-19 10:21:56,52.306957,4,53.69039743867143
