,Lines,Lon,VehicleNumber,Time,Lat,Brigade,nearest_stop,distance_to_stop,is_at_stop
47001,145,21.116376,7801,2024-02-19 10:33:04,52.2335661,016,R-10,112.8573235110971,no
47002,145,21.0712046,7802,2024-02-19 10:33:05,52.2897669,1,1061,68.91122761778436,no
47003,145,21.0008279,7803,2024-02-19 10:33:05,52.2913636,3,1013,6.443375294854646,yes
47004,145,21.1207189,7804,2024-02-19 10:33:05,52.2674681,11,2077,19.4843078801207,no
47005,141,21.0459166,7805,2024-02-19 10:33:04,52.2188147,7,7074,5.510020976150041,yes
47006,141,20.9581264,7806,2024-02-19 10:33:02,52.1904304,1,4011,93.1535050862266,no
47007,146,21.1164921,7807,2024-02-19 10:33:04,52.2343339,06,R-10,175.61068671554293,no
47009,143,20.992734,7809,2024-02-19 10:33:05,52.216389,8,4029,7.978626846113548,yes
47010,521,21.2057527,7810,2024-02-19 10:33:04,52.1599534,1,2052,98.33532307520274,no
47011,141,21.0715795,7811,2024-02-19 10:33:05,52.2312242,4,2098,240.48765944629963,no
47012,143,21.1696653,7812,2024-02-19 10:33:02,52.2638535,5,2088,40.141305537062074,no
47013,151,21.0813891,7813,2024-02-19 10:33:04,52.2357089,3,2100,21.95245513025766,no
47014,182,21.0135105,7814,2024-02-19 10:33:05,52.2172656,2,7006,19.86401007101589,no
47015,125,21.0413174,7815,2024-02-19 10:33:05,52.2415371,5,1231,1.056238723974037,yes
47016,202,21.0431104,7816,2024-02-19 10:33:04,52.2470759,544,1231,1.0567693021267635,yes
47017,102,21.0418391,7817,2024-02-19 10:33:03,52.2404458,546,1231,184.81035801520179,no
47019,150,20.8644226,782,2024-02-19 10:32:47,52.3598555,010,6807,1224.3611761680756,no
47022,151,21.1164677,7822,2024-02-19 10:33:05,52.2337534,06,R-10,122.7629254443299,no
47025,141,21.0821305,7825,2024-02-19 10:33:05,52.2399355,6,2130,34.144555020408625,no
47026,514,21.1282646,7826,2024-02-19 10:33:03,52.2345443,2,2015,9.150144462065706,yes
47027,141,21.1154262,7827,2024-02-19 10:33:05,52.2347691,3,R-10,137.8348858726781,no
47029,125,21.0912782,7829,2024-02-19 10:33:04,52.2447412,1,2010,214.6795254332926,no
47030,143,21.1687647,7830,2024-02-19 10:33:05,52.2640989,3,2088,27.987046654011507,no
47031,525,21.1596092,7831,2024-02-19 10:33:05,52.2260462,3,2020,51.35255937688017,no
47033,145,21.0879819,7833,2024-02-19 10:33:04,52.244744,9,2008,13.926204366568461,yes
47035,507,21.0504773,7835,2024-02-19 10:33:03,52.2376878,1,2131,0.932250538889802,yes
47040,523,20.9801637,7840,2024-02-19 10:33:04,52.2165194,16,4121,44.10230642978682,no
47043,502,21.1900234,7843,2024-02-19 10:33:04,52.2248176,468,2292,1358.3239367450212,no
47044,402,21.0080417,7844,2024-02-19 10:33:04,52.1765241,7,,,no
47045,151,21.0975617,7845,2024-02-19 10:33:04,52.2343581,04,2418,380.01704286677574,no
47047,502,21.0994203,7847,2024-02-19 10:33:00,52.2347173,464,2102,34.53302258516816,no
47054,188,21.1168892,7854,2024-02-19 10:33:04,52.2349899,07,R-10,235.39725164352444,no
47057,720,21.0879789,7857,2024-02-19 10:33:01,52.244649,2,2008,12.899318299462227,yes
47059,509,20.9466593,7859,2024-02-19 10:33:05,52.3400111,10,1947,3.666104053287907,yes
47061,162,21.0772272,7861,2024-02-19 10:33:04,52.1905101,2,3091,103.59466341838107,no
47062,145,21.1335934,7862,2024-02-19 10:33:00,52.2401072,7,2058,145.8430371545641,no
47064,158,21.1128051,7864,2024-02-19 10:33:05,52.2363745,1,2105,10.292705822706253,yes
47066,145,21.0414871,7866,2024-02-19 10:33:02,52.292063,5,1147,6.850077824186274,yes
47067,525,21.1165627,7867,2024-02-19 10:33:04,52.2334167,010,2104,71.30812241507128,no
47068,523,20.9562659,7868,2024-02-19 10:33:04,52.2303947,1,5007,12.725914555463646,yes
47069,125,21.1715274,7869,2024-02-19 10:33:04,52.2097362,3,2027,4.501585143201652,yes
47070,509,21.0418677,7870,2024-02-19 10:33:04,52.2499911,15,1001,127.2143306401928,no
47071,520,21.1534254,7871,2024-02-19 10:33:05,52.2393777,4,2063,2.9795801895066196,yes
47072,202,21.0438782,7872,2024-02-19 10:33:04,52.2485089,543,1001,65.07725946105266,no
47075,502,21.2173902,7875,2024-02-19 10:33:04,52.2146084,467,2440,20.853882585978127,no
47076,502,21.083903,7876,2024-02-19 10:33:04,52.2359417,1,2100,153.53561411882802,no
47077,151,21.1050207,7877,2024-02-19 10:33:04,52.2301799,1,2502,16.038593299306672,no
47080,523,21.1067397,7880,2024-02-19 10:33:05,52.2479682,12,2108,21.819126152761413,no
47081,168,21.0097195,7881,2024-02-19 10:33:04,52.2032084,2,3229,14.273342551355203,yes
47082,151,21.0153734,7882,2024-02-19 10:33:04,52.2193156,2,7006,7.589321987231709,yes
47083,502,21.0247943,7883,2024-02-19 10:33:04,52.2195488,463,7037,85.45038536024576,no
47085,523,20.898203,7885,2024-02-19 10:33:00,52.258448,4,5055,8.26412647819923,yes
47086,514,21.1277916,7886,2024-02-19 10:33:04,52.2349127,4,2015,49.65258044178394,no
47087,188,21.1169239,7887,2024-02-19 10:33:04,52.2335437,010,R-10,84.98695783313592,no
47091,L48,21.2978225,80101,2024-02-19 10:33:03,52.2044748,1,,,no
47092,L47,21.3016808,80102,2024-02-19 10:33:02,52.2575198,1,,,no
47094,L47,21.3125133,80104,2024-02-19 10:33:02,52.2742044,02,,,no
47098,L26,21.2182943,80108,2024-02-19 10:33:02,52.3229455,2,,,no
47099,L26,21.1570236,80109,2024-02-19 10:33:03,52.3146575,1,,,no
47101,L37,21.2178798,80112,2024-02-19 10:33:04,52.3439968,1,1700,277.35436373491615,no
47102,L36,21.2492901,80113,2024-02-19 10:32:45,52.3747938,1,1770,132.8846339412734,no
47103,L43,21.1548836,80114,2024-02-19 10:33:04,52.2969205,681,1848,7.025722248542716,yes
47104,L45,21.1186373,80115,2024-02-19 10:33:04,52.3393553,1,1240,53.045121675175984,no
47105,L40,21.2212295,80116,2024-02-19 10:33:00,52.3448708,2,1700,60.22144507048663,no
47106,L-3,21.021655,80117,2024-02-19 10:33:01,52.0794051,1,3165,42.61593046419822,no
47107,L35,21.3129588,80118,2024-02-19 10:33:02,52.3532001,1,1777,402.2708197659094,no
47110,L46,21.1553695,80122,2024-02-19 10:33:00,52.2937318,682,1980,115.01346275610543,no
47114,172,20.974094,8300,2024-02-19 10:32:46,52.202228,3,4109,13.282725427462095,yes
47116,504,21.0685378,8302,2024-02-19 10:33:04,52.1291503,1,3400,21.433090133385,no
47117,174,20.997284,8303,2024-02-19 10:33:04,52.1876753,09,R-07,117.05062444834076,no
47118,187,20.862018,8304,2024-02-19 10:33:02,52.191023,3,4221,3.9043099778604304,yes
47119,174,21.0075138,8305,2024-02-19 10:33:00,52.2093256,6,3228,69.19235426600316,no
47120,148,21.0379733,8306,2024-02-19 10:33:01,52.1462666,4,3299,23.88025909566362,no
